episode 145	loss 2.3003492	 episode reward -20.0	 number of down act 0.637246963562753	 game_len 1235	
episode 146	loss -0.5720118	 episode reward -21.0	 number of down act 0.670897552130553	 game_len 1103	
episode 147	loss 7.0830336	 episode reward -21.0	 number of down act 0.6276326874473462	 game_len 1187	
episode 148	loss -8.54063	 episode reward -20.0	 number of down act 0.660392798690671	 game_len 1222	
episode 149	loss 6.1184244	 episode reward -20.0	 number of down act 0.5853066180935034	 game_len 1647	
episode 150	loss 6.920638	 episode reward -21.0	 number of down act 0.5955819881053526	 game_len 1177	
episode 151	loss -6.2098627	 episode reward -21.0	 number of down act 0.6082877247849883	 game_len 1279	
episode 152	loss 6.219801	 episode reward -21.0	 number of down act 0.5804916732751785	 game_len 1261	
episode 153	loss 10.96905	 episode reward -21.0	 number of down act 0.5625990491283677	 game_len 1262	
episode 154	loss 8.861698	 episode reward -21.0	 number of down act 0.5896269335759782	 game_len 1099	
episode 155	loss 7.2703705	 episode reward -20.0	 number of down act 0.5645028759244043	 game_len 1217	
episode 156	loss 6.059032	 episode reward -21.0	 number of down act 0.5516962843295639	 game_len 1238	
episode 157	loss 11.705134	 episode reward -20.0	 number of down act 0.5534398034398035	 game_len 1628	
episode 158	loss 15.948042	 episode reward -21.0	 number of down act 0.5726351351351351	 game_len 1184	
episode 159	loss 11.29636	 episode reward -21.0	 number of down act 0.582089552238806	 game_len 1340	
episode 160	loss -3.7529364	 episode reward -21.0	 number of down act 0.5802583025830258	 game_len 1084	
episode 161	loss 17.292698	 episode reward -21.0	 number of down act 0.5665158371040724	 game_len 1105	
episode 162	loss 9.9964905	 episode reward -21.0	 number of down act 0.5868028279654359	 game_len 1273	
episode 163	loss 8.233575	 episode reward -21.0	 number of down act 0.597623089983022	 game_len 1178	
episode 164	loss 8.993349	 episode reward -19.0	 number of down act 0.5888294711824124	 game_len 1683	
episode 165	loss -3.3462815	 episode reward -21.0	 number of down act 0.5837531486146096	 game_len 1588	
episode 166	loss 8.24778	 episode reward -21.0	 number of down act 0.5752051048313582	 game_len 1097	
episode 167	loss 8.573514	 episode reward -20.0	 number of down act 0.5570962479608483	 game_len 1226	
episode 168	loss 15.739103	 episode reward -21.0	 number of down act 0.566453447050462	 game_len 1407	
episode 169	loss 4.939692	 episode reward -21.0	 number of down act 0.6106032906764168	 game_len 1094	
episode 170	loss 4.167614	 episode reward -20.0	 number of down act 0.5811447811447812	 game_len 1485	
episode 171	loss 7.1106663	 episode reward -21.0	 number of down act 0.5702127659574469	 game_len 1175	
episode 172	loss 5.48462	 episode reward -20.0	 number of down act 0.5552	 game_len 1875	
episode 173	loss 11.585684	 episode reward -21.0	 number of down act 0.5538707102952913	 game_len 1253	
episode 174	loss 3.0814333	 episode reward -20.0	 number of down act 0.5494125777470629	 game_len 1447	
episode 175	loss 9.646948	 episode reward -21.0	 number of down act 0.5304568527918782	 game_len 1182	
episode 176	loss 4.9149704	 episode reward -20.0	 number of down act 0.5251524390243902	 game_len 1312	
episode 177	loss 9.403411	 episode reward -21.0	 number of down act 0.4923728813559322	 game_len 1180	
episode 178	loss 7.3577857	 episode reward -20.0	 number of down act 0.5450081833060556	 game_len 1222	
episode 179	loss 10.565098	 episode reward -21.0	 number of down act 0.5280189423835833	 game_len 1267	
episode 180	loss 9.9204	 episode reward -20.0	 number of down act 0.5556206088992974	 game_len 1708	
episode 181	loss 8.453765	 episode reward -21.0	 number of down act 0.5561079545454546	 game_len 1408	
episode 182	loss 8.957639	 episode reward -21.0	 number of down act 0.5254491017964071	 game_len 1336	
episode 183	loss 10.406642	 episode reward -21.0	 number of down act 0.5293706293706294	 game_len 1430	
episode 184	loss 10.917117	 episode reward -21.0	 number of down act 0.5333333333333333	 game_len 1260	
episode 185	loss 14.078216	 episode reward -21.0	 number of down act 0.5463306152705708	 game_len 1349	
